Date,"Installed audience (All users, Unique users, Per interval, Daily): All countries / regions","Installed audience (All users, Unique users, Per interval, Daily): United States","Installed audience (All users, Unique users, Per interval, Daily): India","Installed audience (All users, Unique users, Per interval, Daily): Australia","Installed audience (All users, Unique users, Per interval, Daily): Jamaica",Notes
"Feb 1, 2025","1,107","1,088",4,1,1,
"Feb 2, 2025","1,114","1,098",3,1,1,
"Feb 3, 2025","1,114","1,096",4,2,1,
"Feb 4, 2025","1,124","1,110",3,1,1,
"Feb 5, 2025","1,112","1,093",4,1,2,
"Feb 6, 2025","1,109","1,092",3,1,1,
"Feb 7, 2025","1,120","1,103",3,1,1,
"Feb 8, 2025","1,115","1,098",3,1,1,
"Feb 9, 2025","1,122","1,103",4,1,2,
"Feb 10, 2025","1,121","1,103",3,1,2,
"Feb 11, 2025","1,112","1,099",3,1,1,
"Feb 12, 2025","1,098","1,083",4,0,1,
"Feb 13, 2025","1,111","1,096",4,0,1,
"Feb 14, 2025","1,108","1,090",4,0,1,
"Feb 15, 2025","1,125","1,106",8,0,1,
"Feb 16, 2025","1,117","1,101",5,1,1,
"Feb 17, 2025","1,111","1,095",4,1,1,
"Feb 18, 2025","1,112","1,093",4,1,2,
"Feb 19, 2025","1,120","1,105",4,1,1,
"Feb 20, 2025","1,122","1,104",5,2,1,
"Feb 21, 2025","1,100","1,085",5,1,1,
"Feb 22, 2025","1,118","1,105",4,1,1,
"Feb 23, 2025","1,120","1,107",4,1,1,
"Feb 24, 2025","1,135","1,119",4,2,1,
"Feb 25, 2025","1,105","1,089",4,1,1,
"Feb 26, 2025","1,115","1,096",4,2,2,
"Feb 27, 2025","1,141","1,130",3,2,1,
"Feb 28, 2025","1,112","1,102",4,1,1,
"Mar 1, 2025","1,124","1,112",3,2,2,
