Date,"User loss (All users, All events, Per interval, Daily): All countries / regions","User loss (All users, All events, Per interval, Daily): United States",Notes
"Feb 9, 2025",3,3,
"Feb 10, 2025",3,3,
"Feb 11, 2025",4,3,
"Feb 12, 2025",6,6,
"Feb 13, 2025",5,5,
"Feb 14, 2025",3,3,
"Feb 15, 2025",2,2,
"Feb 16, 2025",2,1,
"Feb 17, 2025",3,3,
"Feb 18, 2025",3,3,
"Feb 19, 2025",2,2,
"Feb 20, 2025",5,5,
"Feb 21, 2025",5,5,
"Feb 22, 2025",2,2,
"Feb 23, 2025",0,0,
"Feb 24, 2025",3,3,
"Feb 25, 2025",2,2,
"Feb 26, 2025",1,1,
"Feb 27, 2025",1,1,
"Feb 28, 2025",2,2,
"Mar 1, 2025",2,2,
"Mar 2, 2025",2,2,
"Mar 3, 2025",1,1,
"Mar 4, 2025",0,0,
"Mar 5, 2025",4,4,
"Mar 6, 2025",3,3,
"Mar 7, 2025",1,1,
"Mar 8, 2025",0,0,
"Mar 9, 2025",3,3,
"Mar 10, 2025",2,2,
