Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions","User acquisition (All users, All events, Per interval, Daily): United States","User acquisition (All users, All events, Per interval, Daily): India",Notes
"Feb 10, 2025",4,3,0,
"Feb 11, 2025",5,5,0,
"Feb 12, 2025",3,3,0,
"Feb 13, 2025",4,4,0,
"Feb 14, 2025",4,4,0,
"Feb 15, 2025",5,3,2,
"Feb 16, 2025",2,2,0,
"Feb 17, 2025",4,4,0,
"Feb 18, 2025",3,3,0,
"Feb 19, 2025",5,5,0,
"Feb 20, 2025",5,5,0,
"Feb 21, 2025",4,4,0,
"Feb 22, 2025",2,2,0,
"Feb 23, 2025",2,2,0,
"Feb 24, 2025",7,7,0,
"Feb 25, 2025",3,3,0,
"Feb 26, 2025",4,4,0,
"Feb 27, 2025",4,4,0,
"Feb 28, 2025",0,0,0,
"Mar 1, 2025",5,5,0,
"Mar 2, 2025",4,4,0,
"Mar 3, 2025",0,0,0,
"Mar 4, 2025",3,3,0,
"Mar 5, 2025",2,2,0,
"Mar 6, 2025",1,1,0,
"Mar 7, 2025",1,0,0,
"Mar 8, 2025",4,4,0,
"Mar 9, 2025",2,2,0,
"Mar 10, 2025",1,1,0,
"Mar 11, 2025",1,1,0,
